id,baseMean,log2FC,lfcSE,stat,pvalue,padj
ENSMUSG00000102693,0,NA,NA,NA,NA,NA
ENSMUSG00000064842,0,NA,NA,NA,NA,NA
ENSMUSG00000051951,0.351699602,-0.901157541,3.343176094,-0.269551323,0.787505453,NA
ENSMUSG00000102851,0,NA,NA,NA,NA,NA
ENSMUSG00000103377,0.078604371,0.922862538,4.27958794,0.215642849,0.829266152,NA
ENSMUSG00000104017,0,NA,NA,NA,NA,NA
ENSMUSG00000103025,0,NA,NA,NA,NA,NA
ENSMUSG00000089699,0,NA,NA,NA,NA,NA
ENSMUSG00000103201,0,NA,NA,NA,NA,NA
ENSMUSG00000103147,1.28792192,0.438964308,1.090747747,0.40244347,0.687357684,NA
ENSMUSG00000103161,0,NA,NA,NA,NA,NA
ENSMUSG00000102331,0,NA,NA,NA,NA,NA
ENSMUSG00000102348,0,NA,NA,NA,NA,NA
ENSMUSG00000102592,0,NA,NA,NA,NA,NA
ENSMUSG00000088333,0,NA,NA,NA,NA,NA
ENSMUSG00000102343,0,NA,NA,NA,NA,NA
ENSMUSG00000025900,0.181388004,-0.231291635,4.27958794,-0.054045305,0.956899069,NA
ENSMUSG00000102948,0.098207586,-0.231256502,4.27958794,-0.054037095,0.956905609,NA
ENSMUSG00000104123,0,NA,NA,NA,NA,NA
ENSMUSG00000025902,25.34682166,-0.794302599,0.357857317,-2.219606981,0.026445458,0.131498388
ENSMUSG00000104238,0,NA,NA,NA,NA,NA
ENSMUSG00000102269,3.908581133,-0.071715309,0.83552038,-0.085833105,0.931599089,NA
ENSMUSG00000118917,0.039302185,0.345795091,4.27958794,0.080801025,0.935600193,NA
ENSMUSG00000103003,0,NA,NA,NA,NA,NA
ENSMUSG00000104328,0.100947575,-0.808329234,4.27958794,-0.188880155,0.850186748,NA
ENSMUSG00000102735,0.051441337,0.345795091,4.27958794,0.080801025,0.935600193,NA
ENSMUSG00000098104,133.5316402,-0.226540873,0.166918339,-1.357195821,0.174718998,0.385597301
ENSMUSG00000102175,3.91968948,-0.237398542,0.708870781,-0.33489678,0.737702951,NA
ENSMUSG00000103265,0.516996383,0.345791298,2.816150713,0.122788633,0.902274475,NA
ENSMUSG00000103922,92.63438796,0.280572998,0.186256099,1.506382872,0.131968915,0.328858941
ENSMUSG00000033845,912.7161997,-0.041103309,0.071906739,-0.571619708,0.567579641,0.749556973
ENSMUSG00000102275,14.61402227,-0.297877413,0.364159765,-0.817985516,0.413365458,0.631908896
ENSMUSG00000025903,912.6597103,0.13470835,0.125347822,1.074676435,0.282519618,0.509842373
ENSMUSG00000104217,0,NA,NA,NA,NA,NA
ENSMUSG00000033813,838.6564627,0.003698953,0.135453205,0.027307978,0.978214093,0.990105189
ENSMUSG00000062588,22.80091637,0.756374477,0.38508371,1.964181961,0.049508994,0.188417904
ENSMUSG00000103280,22.26493247,0.189535055,0.306868561,0.617642466,0.536811045,0.728207918
ENSMUSG00000002459,132.2420208,0.287202427,0.181814142,1.579648442,0.114187399,0.30234086
ENSMUSG00000091305,0.330338414,0.741238976,3.332475129,0.22242896,0.82397997,NA
ENSMUSG00000102653,1.070961353,1.690483481,1.489476166,1.134951682,0.256395564,NA
ENSMUSG00000085623,4.343584214,0.921488383,0.59695923,1.543637047,0.122676285,NA
ENSMUSG00000091665,0,NA,NA,NA,NA,NA
ENSMUSG00000033793,1053.454899,-0.359795122,0.134946008,-2.666215384,0.007671053,0.063261794
ENSMUSG00000104352,0.098522222,0.922862538,4.27958794,0.215642849,0.829266152,NA
ENSMUSG00000104046,0.088744881,0.345789806,4.27958794,0.08079979,0.935601175,NA
ENSMUSG00000102907,0,NA,NA,NA,NA,NA
ENSMUSG00000025905,0.043597991,0.345795091,4.27958794,0.080801025,0.935600193,NA
ENSMUSG00000103936,0,NA,NA,NA,NA,NA
ENSMUSG00000103519,0,NA,NA,NA,NA,NA
ENSMUSG00000033774,1.013081334,-4.594787349,4.194663899,-1.095388679,0.273346392,NA
ENSMUSG00000103090,0,NA,NA,NA,NA,NA
ENSMUSG00000025907,1289.387683,0.125328062,0.163971038,0.764330482,0.444670325,0.656151091
ENSMUSG00000090031,132.563326,-0.077007183,0.201885173,-0.381440508,0.702876408,0.836755328
ENSMUSG00000087247,0.046766249,-0.808323949,4.27958794,-0.18887892,0.850187715,NA
ENSMUSG00000103355,0.78352262,-1.289007232,1.689629353,-0.762893489,0.44552692,NA
ENSMUSG00000102706,0.743850122,-3.454622102,1.635218197,-2.112636777,0.034631868,NA
ENSMUSG00000103845,25.02508667,0.32010617,0.358094246,0.893915984,0.371366845,0.597834103
ENSMUSG00000033740,22.75304401,1.143486364,0.495944277,2.305675089,0.021128794,0.11421169
ENSMUSG00000103329,0.315718771,-0.151171839,2.939436272,-0.051428854,0.958983793,NA
ENSMUSG00000104385,0.425242804,0.291359692,2.200075116,0.132431702,0.894642841,NA
ENSMUSG00000102135,4.642772607,-0.123309718,0.592479546,-0.208124852,0.835131483,NA
ENSMUSG00000103282,0,NA,NA,NA,NA,NA
ENSMUSG00000102534,0,NA,NA,NA,NA,NA
ENSMUSG00000102213,0,NA,NA,NA,NA,NA
ENSMUSG00000103629,13.25179606,1.17552024,0.614124105,1.914141182,0.055602119,0.200996263
ENSMUSG00000051285,1002.643907,0.056142354,0.148490168,0.378088019,0.705365208,0.838853261
ENSMUSG00000098201,2.806131832,-0.149070407,0.808624887,-0.184350506,0.853738495,NA
ENSMUSG00000103509,30.75465451,0.610705131,0.47038929,1.29829727,0.194185204,0.410834785
ENSMUSG00000048538,0.819237857,1.879050646,1.410759864,1.331942235,0.182879171,NA
ENSMUSG00000103709,0,NA,NA,NA,NA,NA
ENSMUSG00000077244,0,NA,NA,NA,NA,NA
ENSMUSG00000102768,0.143162506,-0.231288458,4.27958794,-0.054044563,0.95689966,NA
ENSMUSG00000097797,4.418233798,-0.286208883,0.771277201,-0.37108433,0.710574722,NA
ENSMUSG00000103498,0,NA,NA,NA,NA,NA
ENSMUSG00000103067,0.108018996,-0.231256502,4.27958794,-0.054037095,0.956905609,NA
ENSMUSG00000102320,0,NA,NA,NA,NA,NA
ENSMUSG00000104226,0,NA,NA,NA,NA,NA
ENSMUSG00000103903,0.50202357,0.345805628,2.472686257,0.139850184,0.888778362,NA
ENSMUSG00000103557,0,NA,NA,NA,NA,NA
ENSMUSG00000025909,0.140298748,-1.828120183,4.266703827,-0.428461936,0.66831484,NA
ENSMUSG00000102647,0,NA,NA,NA,NA,NA
ENSMUSG00000086235,5.328520315,-0.244221919,0.706703645,-0.345578971,0.729659152,NA
ENSMUSG00000102253,0,NA,NA,NA,NA,NA
ENSMUSG00000103884,0,NA,NA,NA,NA,NA
ENSMUSG00000084353,44.79296745,-0.02438075,0.212547873,-0.114707097,0.908677288,0.954368478
ENSMUSG00000103933,12.9364351,0.020105662,0.421590535,0.047690023,0.961963286,0.982036083
ENSMUSG00000086195,0,NA,NA,NA,NA,NA
ENSMUSG00000104504,0,NA,NA,NA,NA,NA
ENSMUSG00000066693,0.043921031,-0.231277641,4.27958794,-0.054042035,0.956901674,NA
ENSMUSG00000102316,0,NA,NA,NA,NA,NA
ENSMUSG00000103819,0,NA,NA,NA,NA,NA
ENSMUSG00000102871,0,NA,NA,NA,NA,NA
ENSMUSG00000101571,0.876283549,0.248299844,1.467015463,0.169255097,0.865595994,NA
ENSMUSG00000104428,0.100962405,-0.231256502,4.27958794,-0.054037095,0.956905609,NA
ENSMUSG00000102272,3.656694787,0.084290986,0.70124843,0.120201318,0.904323673,NA
ENSMUSG00000065625,0,NA,NA,NA,NA,NA
ENSMUSG00000103411,5.465476178,1.677725178,0.630205836,2.662186037,0.007763496,NA
ENSMUSG00000061024,826.9569605,0.316318019,0.143300704,2.207372402,0.027288053,0.134033405
ENSMUSG00000025911,113.0220474,0.046691013,0.186407773,0.250477822,0.802217854,0.89644046
ENSMUSG00000079671,345.6298168,0.425070948,0.140993538,3.014825744,0.002571269,0.032951624
ENSMUSG00000081441,2.31695378,0.656934046,1.010584998,0.650053234,0.515657836,NA
ENSMUSG00000067879,22.06890026,0.689168379,0.343916786,2.003881191,0.045082789,0.178262287
ENSMUSG00000099827,0.039983281,-0.231277641,4.27958794,-0.054042035,0.956901674,NA
ENSMUSG00000025912,599.2374997,0.477381047,0.209911602,2.274200387,0.022953941,0.119921359
ENSMUSG00000045210,1334.882073,0.055121848,0.118390446,0.465593715,0.641506343,0.799873891
ENSMUSG00000097893,2.705630826,0.058575996,0.872081753,0.06716801,0.946447952,NA
ENSMUSG00000025915,294.8758207,-0.166119224,0.243730264,-0.681569949,0.495510922,0.697930519
ENSMUSG00000046334,26.91881719,0.221324217,0.325186469,0.680607093,0.496120138,0.698474053
ENSMUSG00000046101,3.000290378,0.053848729,1.01083845,0.05327135,0.957515707,NA
ENSMUSG00000098234,434.4259184,-0.551139813,0.189014002,-2.915867649,0.003547009,0.039864149
ENSMUSG00000093178,8.183563689,-0.694037148,0.580949298,-1.194660446,0.232219722,NA
ENSMUSG00000099032,6.995298466,-1.005780231,0.592363262,-1.697911225,0.089524518,NA
