id,baseMean,log2FC,lfcSE,stat,pvalue,padj
ENSMUSG00000000001,4286.143152,0.045023367,0.113829006,0.395535102,0.692448021,0.836434487
ENSMUSG00000000003,0,NA,NA,NA,NA,NA
ENSMUSG00000000028,982.2861591,0.114476219,0.078786515,1.452992547,0.146225823,0.365310373
ENSMUSG00000000031,653.5357878,-1.231417083,0.421191741,-2.923649642,0.003459539,0.046309781
ENSMUSG00000000037,7.363324774,0.046420318,0.658030152,0.070544363,0.943760392,NA
ENSMUSG00000000049,1.391094142,0.920403431,1.794787127,0.512820388,0.608076967,NA
ENSMUSG00000000056,884.873975,0.116403366,0.217277371,0.53573626,0.59214084,0.77302905
ENSMUSG00000000058,3123.406535,0.506844078,0.230112282,2.202594633,0.027623333,0.145614293
ENSMUSG00000000078,3093.605219,-0.258524929,0.079808698,-3.239307701,0.001198202,0.025324038
ENSMUSG00000000085,928.1469684,-0.068828661,0.174460433,-0.394523044,0.693194917,0.836671129
ENSMUSG00000000088,1699.238185,-0.35811598,0.15311316,-2.338897452,0.019340741,0.120444702
ENSMUSG00000000093,14.83086606,-0.479411948,0.36338093,-1.319309594,0.187065632,0.419422558
ENSMUSG00000000094,2.682108564,0.288381949,1.48061348,0.194771933,0.845571496,NA
ENSMUSG00000000103,0,NA,NA,NA,NA,NA
ENSMUSG00000000120,24.52811894,-0.150759959,0.723975767,-0.208238958,0.835042391,0.917768713
ENSMUSG00000000125,12.82808015,-0.868800205,1.383447843,-0.627996357,0.530006327,0.72992624
ENSMUSG00000000126,22.54580255,-0.092843853,0.382370749,-0.242811075,0.808151755,0.905098991
ENSMUSG00000000127,412.5296203,0.023907116,0.170881379,0.139904747,0.888735251,0.947724491
ENSMUSG00000000131,2603.374506,-0.398229855,0.24305112,-1.638461302,0.1013255,0.300761328
ENSMUSG00000000134,1795.200777,-0.108191007,0.1625943,-0.665404675,0.505791696,0.71374283
ENSMUSG00000000142,44.97494756,0.454209541,0.365271501,1.24348475,0.213689257,0.450565632
ENSMUSG00000000148,720.4630668,0.258114844,0.121315225,2.127637676,0.033367136,0.161705275
ENSMUSG00000000149,2585.295412,0.209711893,0.14258351,1.47080046,0.141345088,0.35872925
ENSMUSG00000000154,10.52415631,-0.689766197,0.499062814,-1.382123006,0.166933936,0.392525402
ENSMUSG00000000157,0.381554161,-2.322390993,3.41600643,-0.679855569,0.496595917,NA
ENSMUSG00000000159,5.048903605,-1.939648906,1.300699197,-1.491235568,0.135899659,NA
ENSMUSG00000000167,28.59490318,-0.345717309,0.25536983,-1.353790731,0.175803152,0.405269187
ENSMUSG00000000168,1155.428231,0.331549035,0.14634588,2.265516709,0.02348099,0.13353475
ENSMUSG00000000171,2179.012947,-0.213644383,0.099777504,-2.141207925,0.032257274,0.159068865
ENSMUSG00000000182,17.78588458,-0.626329715,0.546916619,-1.14520147,0.25212571,0.491733106
ENSMUSG00000000183,2.475044036,2.174468242,1.160251531,1.874135205,0.060911792,NA
ENSMUSG00000000184,2203.135167,-0.039140877,0.094910638,-0.412397148,0.680048353,0.828970667
ENSMUSG00000000194,1309.833205,-0.317324727,0.200137377,-1.58553456,0.112844931,0.318508394
ENSMUSG00000000197,0.739413906,-0.796966387,3.280020024,-0.242976074,0.808023933,NA
ENSMUSG00000000202,2.953992076,-0.202976811,1.066723379,-0.190280643,0.849089221,NA
ENSMUSG00000000204,1129.10672,-1.932727295,0.438468282,-4.407906737,1.04E-05,0.001084093
ENSMUSG00000000214,0.27246858,-1.430004734,4.275974447,-0.334427802,0.738056763,NA
ENSMUSG00000000215,0,NA,NA,NA,NA,NA
ENSMUSG00000000216,3.700560916,-0.581599176,2.168575302,-0.268194134,0.78854989,NA
ENSMUSG00000000223,112.1971653,-0.027555443,0.217720113,-0.126563609,0.899285801,0.951550257
ENSMUSG00000000244,29.73498414,-0.187429671,0.496358518,-0.377609457,0.705720738,0.845015462
ENSMUSG00000000247,7.224891919,0.067770229,1.332894838,0.050844393,0.959449516,NA
ENSMUSG00000000248,4.243835067,-0.036441036,1.242905687,-0.029319228,0.976609992,NA
ENSMUSG00000000253,39.53463219,-0.326600863,0.334546342,-0.976249991,0.328940595,0.569450489
ENSMUSG00000000263,0.352024715,-1.300279521,2.494618869,-0.521233739,0.602203953,NA
ENSMUSG00000000266,155.738581,0.180682908,0.285944359,0.631881351,0.52746441,0.728682553
ENSMUSG00000000275,2802.955718,-0.235571117,0.134732407,-1.748436935,0.080388397,0.263568607
ENSMUSG00000000276,334.5749844,0.044675278,0.140868894,0.317140831,0.751136744,0.872948672
ENSMUSG00000000278,3048.001085,-0.201053195,0.164735164,-1.220463138,0.222289355,0.459669381
ENSMUSG00000000282,976.7356592,-0.214369902,0.169497091,-1.264740894,0.205964225,0.442687313
ENSMUSG00000000290,4327.359501,-0.133451603,0.192441702,-0.693465091,0.488017726,0.701731292
