id,baseMean,log2FC,lfcSE,stat,pvalue,padj
ENSMUSG00000000001,4302.889279,0.07928243,0.119035994,0.666037452,0.505387162,0.714377999
ENSMUSG00000000003,0,NA,NA,NA,NA,NA
ENSMUSG00000000028,972.3239616,0.082807551,0.07911193,1.046713834,0.295231581,0.530832159
ENSMUSG00000000031,709.333189,-1.27264489,0.457876305,-2.779451298,0.005445082,0.055447857
ENSMUSG00000000037,8.566732956,-0.101258103,0.703816296,-0.143870075,0.885603066,0.945316511
ENSMUSG00000000049,0.911474012,1.093626697,1.753651418,0.623628325,0.532871704,NA
ENSMUSG00000000056,883.3202122,0.027076048,0.196774431,0.137599424,0.890557011,0.948303586
ENSMUSG00000000058,3131.937177,0.551833058,0.22961708,2.403275301,0.01624895,0.103905613
ENSMUSG00000000078,3123.080693,-0.199757233,0.084653855,-2.35969446,0.018289992,0.110835735
ENSMUSG00000000085,945.4742352,-0.310952954,0.22274372,-1.396012217,0.162710816,0.382340848
ENSMUSG00000000088,1881.148224,-0.32809652,0.163329875,-2.008796741,0.044558694,0.185457516
ENSMUSG00000000093,14.70667579,-0.472914277,0.375936647,-1.257962695,0.208405248,0.436788515
ENSMUSG00000000094,0.892810501,-1.242661247,2.06940702,-0.600491462,0.548178749,NA
ENSMUSG00000000103,0,NA,NA,NA,NA,NA
ENSMUSG00000000120,20.43956483,-0.079734722,0.873879259,-0.091242264,0.927300093,0.966617427
ENSMUSG00000000125,12.87416106,-0.887113106,1.387167528,-0.639514037,0.522488585,0.724894126
ENSMUSG00000000126,22.65940985,-0.072788133,0.386694465,-0.188231639,0.850695071,0.928036585
ENSMUSG00000000127,318.7688437,0.091031735,0.243125881,0.374422233,0.708090204,0.846954561
ENSMUSG00000000131,2621.655295,-0.471236222,0.251463293,-1.873976184,0.060933708,0.218702527
ENSMUSG00000000134,1785.828146,-0.219934634,0.154427237,-1.424195875,0.154389779,0.370294331
ENSMUSG00000000142,45.94352347,0.246311495,0.380070917,0.648067201,0.516941486,0.721429301
ENSMUSG00000000148,716.4958506,0.22880866,0.119374605,1.916728107,0.055272483,0.20755991
ENSMUSG00000000149,2584.005009,0.17162545,0.143064828,1.199634127,0.230281467,0.462003725
ENSMUSG00000000154,10.56667931,-0.940242135,0.518096523,-1.81480109,0.069554483,0.237161903
ENSMUSG00000000157,0.185811352,-1.738518931,4.269785855,-0.407167711,0.683884815,NA
ENSMUSG00000000159,4.635790006,-1.798804782,1.307218483,-1.376055194,0.168804546,NA
ENSMUSG00000000167,28.24600176,-0.337689444,0.267985479,-1.260103516,0.207632022,0.436189323
