"","day14_immuno_treat_1.bam","day14_immuno_treat_3.bam","day14_immuno_treat_4.bam","day14_immuno_treat_5.bam","day14_immuno_treat2.bam","day14_isotype_control_1.bam","day14_isotype_control_2.bam","day14_isotype_control_3.bam","day14_isotype_control_4.bam","day14_isotype_control_5.bam","day7_immuno_treat_1.bam","day7_immuno_treat_2.bam","day7_immuno_treat_3.bam","day7_immuno_treat_4.bam","day7_immuno_treat_5.bam","day7_isotype_control_1.bam","day7_isotype_control_2.bam","day7_isotype_control_3.bam","day7_isotype_control_4.bam","day7_isotype_control_5.bam"
"ENSMUSG00000102693.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000064842.3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000051951.6",6,5,0,4,4,4,0,2,2,1,1,2,7,2,2,0,6,3,2,1
"ENSMUSG00000102851.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000103377.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000104017.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000103025.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000089699.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000103201.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000103147.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000103161.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000102331.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000102348.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000102592.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000088333.4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000102343.2",0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"ENSMUSG00000025900.14",3,2,0,5,2,1,1,0,1,1,4,0,1,1,6,1,0,2,1,3
"ENSMUSG00000102948.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000104123.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000025902.14",59,60,23,35,36,23,20,20,12,11,26,34,62,32,51,33,38,30,29,18
"ENSMUSG00000104238.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000102269.2",2,2,1,1,3,2,1,1,11,3,10,0,2,2,13,2,6,1,13,6
"ENSMUSG00000118917.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"ENSMUSG00000103003.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000104328.2",0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
